latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.684,19.8996,313.9,1.1,1.1,2000-11-15,1005,Terra,MODIS,74,6.03,285.3,15.8,D,0
42.6722,19.8989,309.3,1,1,2000-11-17,0952,Terra,MODIS,68,6.03,280.9,11.4,D,0
42.9774,19.7719,311.4,1,1,2001-03-25,2056,Terra,MODIS,82,6.03,285.2,12.9,N,0
43.0673,19.6816,304,1.1,1,2001-04-03,0943,Terra,MODIS,54,6.03,291.8,3.4,D,0
43.0496,19.8731,306.7,1.4,1.2,2001-04-05,0931,Terra,MODIS,60,6.03,291.9,6.5,D,0
42.5441,19.3645,318.9,3.9,1.8,2001-07-14,1042,Terra,MODIS,71,6.03,302.2,77,D,0
42.544,19.4014,330.3,3.9,1.8,2001-07-14,1042,Terra,MODIS,83,6.03,300.5,172.3,D,0
42.5343,19.3999,331.1,3.9,1.8,2001-07-14,1042,Terra,MODIS,84,6.03,300.7,179.2,D,0
42.3666,19.2998,331.6,1.1,1,2001-07-24,0941,Terra,MODIS,85,6.03,303.6,20.2,D,0
42.525,19.354,325.6,1.1,1,2001-07-29,0959,Terra,MODIS,80,6.03,303.1,16.9,D,0
42.5272,19.3407,324.5,1.1,1,2001-07-29,0959,Terra,MODIS,66,6.03,301.7,16.3,D,0
42.4453,19.2232,306,1.2,1.1,2001-07-29,2106,Terra,MODIS,67,6.03,295.5,5.8,N,0
42.4222,19.1971,321,1.2,1.1,2001-07-29,2106,Terra,MODIS,100,6.03,295.9,21.9,N,0
42.4206,19.1818,308.7,1.2,1.1,2001-07-29,2106,Terra,MODIS,75,6.03,295.2,8.2,N,0
41.9852,19.1931,322.1,1.2,1.1,2001-08-02,0935,Terra,MODIS,66,6.03,306.1,12.4,D,0
41.9594,19.2455,323.5,1.2,1.1,2001-08-02,0935,Terra,MODIS,73,6.03,305.9,13.3,D,0
41.9578,19.2593,329.6,1.2,1.1,2001-08-02,0935,Terra,MODIS,80,6.03,306.8,22,D,0
41.9869,19.1782,333.3,1.2,1.1,2001-08-02,0935,Terra,MODIS,84,6.03,306.1,30.1,D,0
41.9875,19.1705,336.1,1.1,1,2001-08-02,2041,Terra,MODIS,100,6.03,296.6,40.1,N,0
42.0953,19.3194,309.9,1.1,1,2001-08-02,2041,Terra,MODIS,79,6.03,297.9,7.7,N,0
42.1023,19.3038,311.9,1.1,1,2001-08-02,2041,Terra,MODIS,84,6.03,298.1,8.6,N,0
42.3701,19.3533,307.1,1.1,1,2001-08-02,2041,Terra,MODIS,70,6.03,296.4,5.5,N,0
42.3679,19.3398,308.1,1.1,1,2001-08-02,2041,Terra,MODIS,73,6.03,297.3,6.2,N,0
41.9853,19.172,321.8,1.8,1.3,2001-08-03,1018,Terra,MODIS,62,6.03,302.6,26.7,D,0
42.6405,19.014,320.2,1.2,1.1,2001-08-05,1005,Terra,MODIS,54,6.03,304,10.3,D,0
42.3577,19.3648,328.5,1.3,1.1,2001-08-05,1005,Terra,MODIS,73,6.03,307.5,18.8,D,0
42.6573,19.0087,316.3,2.7,1.6,2001-08-06,0910,Terra,MODIS,51,6.03,301.8,31.7,D,0
42.4778,19.1336,304.9,1.1,1,2001-08-07,2059,Terra,MODIS,62,6.03,293.6,5.4,N,0
42.4596,19.4937,322.5,1.1,1,2001-08-09,0941,Terra,MODIS,59,6.03,308.1,10.8,D,0
42.4618,19.4988,301.7,1,1,2001-08-09,2047,Terra,MODIS,37,6.03,291.1,4.1,N,0
42.46,19.4868,306.9,1,1,2001-08-09,2047,Terra,MODIS,69,6.03,291.4,6.9,N,0
42.2733,18.9,317.8,1.4,1.2,2001-08-12,1011,Terra,MODIS,0,6.03,296.3,20.5,D,0
42.2603,18.9143,308.7,1.7,1.3,2001-08-12,2118,Terra,MODIS,75,6.03,290,21.9,N,0
42.5927,19.3718,303.1,1.8,1.3,2001-08-12,2118,Terra,MODIS,53,6.03,287.5,18,N,0
42.4172,19.2967,317,2.1,1.4,2001-08-13,0916,Terra,MODIS,71,6.03,302.6,17.9,D,2
42.417,19.2907,317.9,2.1,1.4,2001-08-13,0916,Terra,MODIS,67,6.03,302.3,17.5,D,0
42.5789,19.3746,307.5,1.7,1.3,2001-08-13,2023,Terra,MODIS,72,6.03,289.8,17.8,N,0
42.5744,19.3523,302,1.7,1.3,2001-08-13,2023,Terra,MODIS,46,6.03,290.9,10.6,N,0
42.7964,18.7368,325.2,1.1,1,2001-08-14,0959,Terra,MODIS,62,6.03,306.2,18.2,D,0
42.7944,18.7493,326.2,1.1,1,2001-08-14,0959,Terra,MODIS,66,6.03,307,19.6,D,0
42.7854,18.7466,327.7,1.1,1,2001-08-14,0959,Terra,MODIS,65,6.03,305.4,20,D,0
42.5803,19.3657,323.5,1.1,1,2001-08-14,0959,Terra,MODIS,77,6.03,300.6,17,D,0
42.5782,19.3782,328.2,1.1,1,2001-08-14,0959,Terra,MODIS,82,6.03,301.2,23.3,D,0
42.6592,18.8338,337.5,1.1,1,2001-08-14,0959,Terra,MODIS,88,6.03,299.2,38.1,D,0
42.4853,18.9764,311.7,1.1,1,2001-08-14,0959,Terra,MODIS,30,6.03,297.4,6.7,D,0
42.4085,19.1651,323.1,1.1,1,2001-08-14,0959,Terra,MODIS,52,6.03,307.1,10.2,D,0
42.2064,19.145,312.3,1.1,1,2001-08-14,0959,Terra,MODIS,31,6.03,298.6,5.7,D,0
42.2042,19.158,320.7,1.1,1,2001-08-14,0959,Terra,MODIS,74,6.03,301,13.5,D,0
42.1952,19.1542,315.7,1.1,1,2001-08-14,0959,Terra,MODIS,34,6.03,300.5,8.1,D,0
42.8604,18.997,311.8,1.2,1.1,2001-08-14,2106,Terra,MODIS,83,6.03,288.6,16.5,N,0
42.8589,18.9832,302.4,1.2,1.1,2001-08-14,2106,Terra,MODIS,49,6.03,289.3,7.8,N,0
42.6011,19.3612,347.8,1,1,2001-08-16,0947,Terra,MODIS,94,6.03,305.9,50.6,D,0
42.5646,19.3577,324.3,1,1,2001-08-16,0947,Terra,MODIS,53,6.03,304.8,13.1,D,0
42.5977,18.7893,315.2,1,1,2001-08-16,0947,Terra,MODIS,45,6.03,300.1,7.1,D,0
42.5765,18.8093,316.3,1,1,2001-08-16,0947,Terra,MODIS,57,6.03,300.1,7.9,D,0
